,parent_folder,text,filename
271,2477B ,H# AND H# THEY'VE GOT PERKINS H#,sw2477B-ws96-i-0064
272,2477B ,H# YEAH H# YEAH_#,sw2477B-ws96-i-0130
273,2478B ,H# RICH H#,sw2478B-ws96-i-0063
274,2479B ,H# YEAH I BET H#,sw2479B-ws96-i-0043
275,2480A ,H# NO YOU CAN'T IT'S H#,sw2480A-ws96-i-0062
276,2482A ,H# WELL YEAH H# AND H#,sw2482A-ws96-i-0120
277,2482A ,H# JENNY'S SWEET KID H#,sw2482A-ws96-i-0161
278,2482A ,H# I DON'T SEE HOW ANYONE CAN AFFORD IT H#,sw2482A-ws96-i-0179
279,2482B ,H# YEAH H#,sw2482B-ws96-i-0098
280,2483A ,H# I LISTEN TO C N N RADIO TOO H#,sw2483A-ws96-i-0075
281,2488A ,H# VERY MUCH SO H#,sw2488A-ws96-i-0010
282,2488B ,H# YEAH OH I DO TOO H# I DO TOO_#,sw2488B-ws96-i-0009
283,2490B ,H# NEED TO TEACH THEIR KIDS H#,sw2490B-ws96-i-0073
284,2498A ,H# BECAUSE OF ALL THE FLACK H# THEY RECEIVED BUT H#,sw2498A-ws96-i-0025
285,2499A ,H# AND_ALL_RIGHT WHAT HAVE YOU SEEN_#,sw2499A-ws96-i-0002
286,2499A ,H# DANCES H#,sw2499A-ws96-i-0013
287,2499A ,H# AND THERE'S RATS IN THE ATTIC YOU KNOW H#,sw2499A-ws96-i-0028
288,2499A ,H# OH YOU'RE RIGHT I HAVEN'T H#,sw2499A-ws96-i-0047
289,2499A ,H# THAT I HAD FORGOTTEN H#,sw2499A-ws96-i-0060
290,2506A ,H# YOU KNOW JUST_! H#,sw2506A-ws96-i-0054
291,2506B ,H# PUBLIC TRANSPORTATION_! H#,sw2506B-ws96-i-0051
292,2510A ,H# REASON H#,sw2510A-ws96-i-0134
293,2511A ,H# I HAVE NOTICED SINCE H#,sw2511A-ws96-i-0007
294,2513A ,H# THAT NEEDED REPLACING H#,sw2513A-ws96-i-0026
295,2514B ,H# OH I CAN IMAGINE H#,sw2514B-ws96-i-0047
296,2520A ,H# I H# I'VE BEEN COLLECTING RECIPES AND MODIFYING RECIPES FOR A LONG LONG TIME H#,sw2520A-ws96-i-0026
297,2524B ,H# WHAT DO YOU DO H#,sw2524B-ws96-i-0005
298,2525B ,H# AND H# WITH H# THE H# PEOPLE THAT ARE COMING INTO THE COUNTRY H# FROM H# OTHER COUNTRIES_! H#,sw2525B-ws96-i-0012
299,2525B ,H# THAT H# IF SOMEONE IS FROM A FOREIGN COUNTRY H#,sw2525B-ws96-i-0050
300,2526A ,H# ARE_YOU STILL THERE H#,sw2526A-ws96-i-0091
301,2526B ,H# ARE YOU STILL THERE H#,sw2526B-ws96-i-0055
302,2526B ,H# ? THEY JUST MARKET THEM H#,sw2526B-ws96-i-0133
303,2527B ,H# A LOT OF PEOPLE DON'T REALIZE_YOU KNOW THEY HEAR DESERT H# AND THEY THINK OF SCORPIONS AND SNAKES AND SAND AND H#,sw2527B-ws96-i-0047
304,2534A ,H# RAISES [A]STINK ABOUT IT YOU_CAN ALWAYS GO BEFORE THE ASSOCIATION_AND ARGUE_YOUR CASE ANYWAY_#,sw2534A-ws96-i-0051
305,2534A ,H# RAISING CATS H#,sw2534A-ws96-i-0067
306,2537A ,H# DO YOU KNOW IT H# JUST REALLY RUBBED ME THE WRONG WAY H#,sw2537A-ws96-i-0053
307,2537B ,H# PERSONALLY H#,sw2537B-ws96-i-0001
308,2540A ,H# AND THAT DIDN'T HELP AT ALL H#,sw2540A-ws96-i-0005
309,2540A ,H# THOUGH THERE'S H# YOU KNOW PROBABLY I'M SURE SOME H#,sw2540A-ws96-i-0031
310,2540A ,H# ON GETTING ANY GUNS I THINK THAT H#,sw2540A-ws96-i-0044
311,2543A ,H# I MEAN I'M SORRY H#,sw2543A-ws96-i-0056
312,2543B ,H# THE NEWS OR SOMETHING H#,sw2543B-ws96-i-0014
313,2543B ,H# TONE DOWN H#,sw2543B-ws96-i-0110
314,2545A ,H# I WORK H# FOR DIGITAL EQUIPMENT H#,sw2545A-ws96-i-0026
315,2545B ,H# REPORTS AND PAPERS AND THAT SORT OF THING H#,sw2545B-ws96-i-0015
316,2546B ,H# AND H# BUT STILL H#,sw2546B-ws96-i-0054
317,2547A ,H# WE HAVE NO BASEMENT H#,sw2547A-ws96-i-0067
318,2547A ,H# THERE WAS H# IT H#,sw2547A-ws96-i-0086
319,2547B ,H# NO WE ARE WEST_#,sw2547B-ws96-i-0124
320,2547B ,H# EAST NEAR THE_EASTERN SHORE H#,sw2547B-ws96-i-0126
321,2549B ,H# OH OKAY H#,sw2549B-ws96-i-0019
322,2549B ,H# NO I I I LIVE NEAR BALTIMORE H# AND H#,sw2549B-ws96-i-0050
323,2549B ,H# AND H# I WAS NOT REAL HAPPY WHEN H# WHEN THEY H#,sw2549B-ws96-i-0119
324,2550A ,H# KIND OF AN OLDER GUY ?_#,sw2550A-ws96-i-0094
325,2552A ,H# WELL THAT'S H# GOOD H#,sw2552A-ws96-i-0093
326,2557B ,H# SOMETHING WHERE THEY YOU KNOW WOULD H# PICK IT UP AT THE CURB OR AT LEAST H#,sw2557B-ws96-i-0074
327,2558B ,H# AND DO H# WORK IN THE NATIONAL PARKS AND WORK IN H# NEIGHBORHOODS TO DO H#,sw2558B-ws96-i-0042
328,2559A ,H# MY OWN ENVIRONMENT IS H# OPEN TOTALLY THERE ARE NO CUBICLES H#,sw2559A-ws96-i-0040
329,2559B ,H# THE CREDIT BUREAU AND SAY HEY YOU KNOW H#,sw2559B-ws96-i-0061
330,2561A ,H# AT THE SECOND ONE_# H#,sw2561A-ws96-i-0071
331,2562A ,H# NOW I WORK AND I LIVE IN THE CITY SO H#,sw2562A-ws96-i-0022
332,2565A ,H# AND MOLLY MOON IS THE MANAGER OF THEM H#,sw2565A-ws96-i-0011
333,2566A ,H# YEAH SHE'S_! REAL GOOD_#,sw2566A-ws96-i-0019
334,2566B ,H# IT IS_#,sw2566B-ws96-i-0109
335,2568A ,H# NOW DID YOU SEE H# DRIVING MISS DAISY H#,sw2568A-ws96-i-0117
336,2571A ,H# YOU KNOW H# YOU KNOW AND EXPEDITING THE PENALTIES AND JUST GETTING IT OVER WITH H#,sw2571A-ws96-i-0073
337,2571B ,H# WHATEVER H# CAPITAL H#,sw2571B-ws96-i-0031
338,2571B ,H# SAT ON BOTH A A CRIMINAL AND A CIVIL H#,sw2571B-ws96-i-0063
339,2575A ,AND H# AND MOST OF THEM AREN'T H#,sw2575A-ws96-i-0036
340,2575B ,H# AND WHAT IT TAKES TO H# HAVE THAT GOOD LIFE H#,sw2575B-ws96-i-0049
341,2578A ,H# WELL I LIKE THE CLASSICS TOO H#,sw2578A-ws96-i-0027
342,2578A ,H# AND H# SO I TEND TO H#,sw2578A-ws96-i-0054
343,2578B ,H# SO H# ARE YOU A TEACHER H#,sw2578B-ws96-i-0124
344,2579A ,H# OH THAT MUST BE NICE H#,sw2579A-ws96-i-0079
345,2579B ,H# WHAT'S THAT H#,sw2579B-ws96-i-0020
346,2584B ,H# I THINK I'VE HAD ABOUT FOUR H#,sw2584B-ws96-i-0149
347,2585A ,H# AND IT'S REALLY MUCH H# MORE COMPLICATED H#,sw2585A-ws96-i-0107
348,2585B ,H# AND NOT BEING CARED H# FOR H#,sw2585B-ws96-i-0038
349,2586A ,H# RIGHT H# AND THEN YOU LET IT H# CARRY IT DOWNSTREAM H#,sw2586A-ws96-i-0036
350,2586A ,H# THEY SEEM TO HAVE BEEN HITTING REAL HEAVY ON IT H# IN FALL H#,sw2586A-ws96-i-0061
351,2586B ,H# GO AHEAD AND CLEAN IT UP H# AND THEN UH H#,sw2586B-ws96-i-0010
352,2587B ,H# WE'RE MORE INVOLVED IN THAT NOW AND I H# I H#,sw2587B-ws96-i-0044
353,2589B ,H# EVEN THEN THEY'RE SKIMMING OVER H#,sw2589B-ws96-i-0038
354,2589B ,H# HAVE H# HAVE THEM PICK UP AROUND THE SCHOOL YARD HAVE THEM H#,sw2589B-ws96-i-0062
355,2593B ,H# WHAT H# IS H# IT'S H# LIKE THERE BUT HERE A LOT OF H#,sw2593B-ws96-i-0047
356,2594B ,H# I KNOW_! H# H#,sw2594B-ws96-i-0067
357,2598A ,H# IT WAS GOOD BUT I MEAN HE WAS H#,sw2598A-ws96-i-0073
358,2598B ,H# YEAH H# DID YOU SEE GOOD FELLAS H#,sw2598B-ws96-i-0087
359,2602A ,H# OKAY H#,sw2602A-ws96-i-0003
360,2602B ,H# SO FAR THEY HADN'T RUN INTO THE REAL PSYCHOS YET H#,sw2602B-ws96-i-0059
361,2602B ,H# THE GOVERNMENTS WHICH H#,sw2602B-ws96-i-0102
362,2603A ,H# YEAH H# YEAH H#,sw2603A-ws96-i-0032
363,2603B ,H# OH IT'S JUST H# I DON'T KNOW IT'S A H# IT'S A H# TOTAL H# H#,sw2603B-ws96-i-0024
364,2608B ,H# OH I SEE H#,sw2608B-ws96-i-0085
365,2609A ,H# WELL H# DO YOU THINK H#,sw2609A-ws96-i-0001
366,2609B ,H# I THINK THEY'RE LOOKING AFTER THEIR OWN H#,sw2609B-ws96-i-0062
367,2610A ,H# IT WAS ALL METRIC AND H#,sw2610A-ws96-i-0068
368,2610B ,H# OR ONE POINT FIVE MILL H#,sw2610B-ws96-i-0039
369,2611A ,H# AND IT HAD H#,sw2611A-ws96-i-0127
370,2613A ,H# SO WHAT DO YOU THINK ABOUT IT H#,sw2613A-ws96-i-0001
371,2613A ,H# AND IT WAS H# UNSEASONABLY WARM H#,sw2613A-ws96-i-0024
372,2613A ,H# I I I I DON'T UNDERSTAND WHERE THE PRIORITY IS H#,sw2613A-ws96-i-0042
373,2614A ,H# GOTTEN IT_! WITH THEIR H#,sw2614A-ws96-i-0117
374,2615A ,H# YEAH I KNOW WHAT YOU MEAN H#,sw2615A-ws96-i-0006
375,2615A ,H# AVERAGE GUYS H# CAN'T REALLY GO OUT IN THE H# IN THE GARAGE AND H# DO A WHOLE LOT OF REPAIRS H#,sw2615A-ws96-i-0011
376,2615B ,H# BOUGHT A MITSUBISHI MIRAGE HERE[A] COUPLE YEARS AGO AND_? H# AND IT WAS H# NORMALLY CARBURETED H# AND IT'S FAIRLY EASY TO H# H#,sw2615B-ws96-i-0064
377,2615B ,H# WINDING DOWN OR WHAT H#,sw2615B-ws96-i-0100
378,2616B ,H# THEY KICK EVERYBODY'S ASS H#,sw2616B-ws96-i-0020
379,2616B ,H# BUT H# IT'S JUST H# IT'S JUST THAT H#,sw2616B-ws96-i-0086
380,2621A ,H# COURSE THEY PLAY THEIR H#,sw2621A-ws96-i-0142
381,2622A ,H# INCOME TAX FOR THOSE WHO DON'T HAVE IT THAT IS I MEAN WE DON'T HAVE ONE YET BUT H#,sw2622A-ws96-i-0004
382,2623A ,H# GIVING US THINGS TO DO WITH THE CHILDREN H#,sw2623A-ws96-i-0055
383,2623A ,H# UHHUH H#,sw2623A-ws96-i-0122
384,2623B ,H# REALLY WANTED TO H#,sw2623B-ws96-i-0021
385,2623B ,H# AND H# SO IT'S IT'S IT'S H#,sw2623B-ws96-i-0067
386,2628A ,H# YOU KNOW WHEN I HAD THEM AND WHEN THEY WERE SMALL H#,sw2628A-ws96-i-0020
387,2631A ,H# I'VE H# FOR YEARS JUST H# CAR H#,sw2631A-ws96-i-0096
388,2634B ,H# AND ON TOP THAT SPENDING A H# GOOD PORTION OF MY H# EARLIER YEARS IN THE H# MILITARY AS A GREEN BERET I DEFINITELY RESPECT THE POWER OF WEAPONRY H#,sw2634B-ws96-i-0010
389,2634B ,H# ACTUALLY IT'S NOT_#,sw2634B-ws96-i-0087
390,2638A ,H# I THINK THEY PROBABLY WILL YOU KNOW H# IF THEY H# I'M SURE IT'S A VERY EXPENSIVE PROGRAM TO ADMINISTER H#,sw2638A-ws96-i-0064
391,2638B ,H# COMPANY'S MORE PROFITABLE H#,sw2638B-ws96-i-0115
392,2638B ,H# YEP ALL OVER H#,sw2638B-ws96-i-0120
393,2638B ,H# I THINK ALL AROUND IT IT'S GOING TO HELP OUT A LOT_#,sw2638B-ws96-i-0145
394,2641A ,H# I WONDER SOMETIMES H#,sw2641A-ws96-i-0011
395,2641B ,H# AND I WOULD DO IT YOU KNOW H#,sw2641B-ws96-i-0022
396,2642A ,H# PEOPLE DON'T SEE THAT EITHER H#,sw2642A-ws96-i-0036
397,2647A ,h# UHHUH h#,sw2647A-ws96-i-0008
398,2647B ,h# YOU SET YOUR MIND ON h#,sw2647B-ws96-i-0099
399,2650A ,h# POOR BUDDY YOU KNOW h#,sw2650A-ws96-i-0177
400,2654A ,h# THAT'S RIGHT YOU NEVER HEAR ABOUT h#,sw2654A-ws96-i-0029
401,2658B ,h# JUST RETURNING THE COMPUTER h#,sw2658B-ws96-i-0065
402,2658B ,h# BUT THEY'LL JUST h# YOU KNOW h#,sw2658B-ws96-i-0071
403,2658B ,h# WE DON'T REALLY CARE ABOUT YOU h#,sw2658B-ws96-i-0121
404,2659A ,h# RIGHT h# RIGHT h#,sw2659A-ws96-i-0075
405,2661B ,h# FAKE OR PUT ON EITHER h#,sw2661B-ws96-i-0034
406,2661B ,h# WE PRETTY RELIABLY LIKE TO GO TO ON h# SOME SUNDAY MORNINGS h#,sw2661B-ws96-i-0152
407,2661B ,h# AND DRIVE THROUGH WOODLAND PARK AND h#,sw2661B-ws96-i-0158
408,2662B ,h# AND and THEY HAVE TO h#,sw2662B-ws96-i-0044
409,2663A ,h# AND h#,sw2663A-ws96-i-0068
410,2663B ,h# HEY WELL THANKS FOR THE CALL h#,sw2663B-ws96-i-0067
411,2669A ,h# HAVE YOU EVER LIVED IN A COUNTRY WHERE THEY USE METRIC h#,sw2669A-ws96-i-0056
412,2669A ,h# IN KILOMETERS AND you h# YOU GOT TO KNOW WHERE YOU ARE h#,sw2669A-ws96-i-0138
413,2671A ,h# I DON'T KNOW IT'S IT'S HARD FOR ME TO h#,sw2671A-ws96-i-0145
414,2672A ,h# yeah I NOTICED THAT ABOUT THINGS LIKE h#,sw2672A-ws96-i-0065
415,2675A ,h# CASE h#,sw2675A-ws96-i-0021
416,2675B ,h# NOW MY PERSONAL OPINION h#,sw2675B-ws96-i-0006
417,2678A ,h# SO AS LONG as YOU'RE LISTENING h# SO h#,sw2678A-ws96-i-0068
418,2679B ,h# IT'S TRUE h# IT'S TRUE I AGREE WITH YOU h#,sw2679B-ws96-i-0088
419,2685A ,h# EVERYTHING ELSE IS MUD h#,sw2685A-ws96-i-0017
420,2689B ,h# FRUSTRATING h#,sw2689B-ws96-i-0063
421,2690A ,h# PEOPLE h#,sw2690A-ws96-i-0008
422,2690A ,h# THAT WAS A LOT h# OF FUN_#,sw2690A-ws96-i-0059
423,2690B ,h# I MEAN h#,sw2690B-ws96-i-0021
424,2692A ,h# INSPECTOR OR QUALITY INSURANCE GUY_#,sw2692A-ws96-i-0047
425,2692A ,when I TAKE THOSE HOSES I CUT THEM OFF h#,sw2692A-ws96-i-0098
426,2692A ,h# HAVE A LITTLE CURIOSITY h#,sw2692A-ws96-i-0117
427,2703A ,h# YEAH h#,sw2703A-ws96-i-0026
428,2705A ,h# YOU KNOW h#,sw2705A-ws96-i-0058
429,2708B ,H# I HADN'T HEARD THAT h#,sw2708B-ws96-i-0009
430,2708B ,H# you KNOW JUST A TECHNICIAN h#,sw2708B-ws96-i-0046
431,2709A ,H# UMHUM h# UMHUM h#,sw2709A-ws96-i-0026
432,2709A ,H# OH I SEE h#,sw2709A-ws96-i-0056
433,2709A ,H# EXACTLY h# EXACTLY_# h#,sw2709A-ws96-i-0069
434,2709B ,H# IF THERE'S EVEN A h#,sw2709B-ws96-i-0037
435,2711A ,H# OH IT'S NOT BAD AT ALL h#,sw2711A-ws96-i-0021
436,2711A ,we_# WENT DURING THE DROUGHT h#,sw2711A-ws96-i-0052
437,2711A ,H# AUSTIN IS NEAT h#,sw2711A-ws96-i-0172
438,2711B ,H# THAT'S REALLY INTERESTING h#,sw2711B-ws96-i-0078
439,2713A ,H# FINANCIAL h#,sw2713A-ws96-i-0083
440,2715A ,H# OR SOMETHING_# LIKE_# THAT h#,sw2715A-ws96-i-0077
441,2717A ,H# ENDLESS h# ENDLESS h# ENDLESS APPEALS h#,sw2717A-ws96-i-0011
442,2717A ,H# A JURY TRIAL HE WAS HE WAS ACTUALLY ON THE JURY h#,sw2717A-ws96-i-0064
443,2717B ,H# you KNOW WHY SHOULD WE h#,sw2717B-ws96-i-0048
444,2719A ,H# CLOSE TO METHODIST HOSPITAL h#,sw2719A-ws96-i-0045
445,2719B ,H# AND SHE LASTED ABOUT TWO WEEKS AND HER ANKLES COULDN'T TAKE IT ANYMORE h#,sw2719B-ws96-i-0031
446,2719B ,h# SURE h#,sw2719B-ws96-i-0041
447,2723B ,H# ? I'M h# I'M HERE I'VE GOT JUST ELEVEN YEARS h#,sw2723B-ws96-i-0106
448,2726B ,H# TO STICK A WALL BETWEEN TWO ROOMS h#,sw2726B-ws96-i-0048
449,2729A ,H# GET THAT h#,sw2729A-ws96-i-0086
450,2734A ,H# YES h# BUT h#,sw2734A-ws96-i-0046
451,2734B ,H# THAT'S IT h#,sw2734B-ws96-i-0034
452,2734B ,H# SITTING IN h# PRISON GETTING THEIR h# COLLEGE DEGREE h#,sw2734B-ws96-i-0044
453,2734B ,H# YES VERY TRUE I h# I AGREE WITH YOU THERE h#,sw2734B-ws96-i-0046
454,2736A ,H# AND SO I NEED TO MAKE SURE I'VE GOT ONE THAT I CAN FIT h#,sw2736A-ws96-i-0009
455,2739A ,H# NOT WHAT h# THE h# THE NORM WOULD LIKE THEM TO DO h#,sw2739A-ws96-i-0052
456,2739A ,H# I WOULD IMAGINE THAT'S RIGHT h#,sw2739A-ws96-i-0097
457,2744B ,h# THESE PEOPLE SOMEHOW h#,sw2744B-ws96-i-0036
458,2744B ,H# UNTIL_YOU LEAVE YOUR h#,sw2744B-ws96-i-0057
459,2744B ,H# AND h# IT'S KIND OF THESE INTERVENTION h#,sw2744B-ws96-i-0087
460,2744B ,H# BUT h#,sw2744B-ws96-i-0091
461,2748A ,H# I PAD THE PAINT ON h#,sw2748A-ws96-i-0045
462,2749B ,H# NOT AT ALL IN_? h# FACT I'M h#,sw2749B-ws96-i-0001
463,2751A ,H# SO h#,sw2751A-ws96-i-0077
464,2754A ,H# i h# JUST I DON'T h# I DON'T KNOW I JUST h#,sw2754A-ws96-i-0092
465,2754B ,H# I THINK SO h#,sw2754B-ws96-i-0057
466,2754B ,H# YOU CAN PLEA BARGAIN WHAT YOU'RE GUILTY OF BUT h#,sw2754B-ws96-i-0113
467,2755A ,H# BELIEFS h#,sw2755A-ws96-i-0034
468,2755B ,H# true h#,sw2755B-ws96-i-0076
469,2756B ,H# QUITE FREQUENTLY h#,sw2756B-ws96-i-0009
470,2756B ,h# WHAT CLUB DO YOU h# FOLLOW h#,sw2756B-ws96-i-0028
471,2756B ,h# UHHUH h# SOUNDS GOOD_#,sw2756B-ws96-i-0083
472,2766A ,h# WE HAVE SEVERAL TREATIES AND SEVERAL ALLIANCES h#,sw2766A-ws96-i-0028
473,2766A ,h# A WELL PERCEIVED WAR h# WORLD WIDE h# h#,sw2766A-ws96-i-0104
474,2766B ,h# YEAH HE'S A h# A BAD PERSON h# VERY DEFINITELY h# h#,sw2766B-ws96-i-0018
475,2767A ,h# KIDS OR h# KID I'M NOT SURE h# h#,sw2767A-ws96-i-0110
476,2767A ,h# OH NOW THAT h# THAT REALLY IS h# h#,sw2767A-ws96-i-0131
477,2768A ,h# I GUESS DEFINITE VIEWS ABOUT h#,sw2768A-ws96-i-0002
478,2768A ,h# THAT'S JUST THE END OF ME h# h#,sw2768A-ws96-i-0074
479,2770A ,h# KIND OF TRAVELED h# h#,sw2770A-ws96-i-0022
480,2771A ,h# YEAH h# AND IT'S IT'S ALREADY GOTTEN IN INTO BRAZIL A LITTLE BIT h# AND IT HAS TO DO WITH THE FACT THAT h# I MEAN IN THAT PART OF THE WORLD THEY JUST DUMP RAW SEWAGE RIGHT INTO THE RIVERS I MEAN_#,sw2771A-ws96-i-0025
481,2772B ,h# LIKE h# THE NINETY DEGREE h# h#,sw2772B-ws96-i-0035
482,2773B ,h# WELL I h#,sw2773B-ws96-i-0001
483,2773B ,h# YEAH h#,sw2773B-ws96-i-0099
484,2775A ,h# WHAT AREA DO YOU LIVE IN h# h#,sw2775A-ws96-i-0006
485,2776A ,h# WELL h# WHAT THEY TELL ME BUT I MEAN YOU KNOW h#,sw2776A-ws96-i-0093
486,2780A ,H# YEAH H# I THINK H# THIS IS A TOUGH SUBJECT H# BECAUSE H#,sw2780A-ws96-i-0001
487,2780A ,H# WHEN YOU COME FROM TWO H# DIFFERENT PARTS OF THE COUNTRY H#,sw2780A-ws96-i-0002
488,2780A ,H# THE POLITICAL VIEWS ARE REALLY DIFFERENT_#,sw2780A-ws96-i-0003
489,2780A ,H# I H# I I GUESS I'VE HAD TO DISCUSS A NUMBER OF WHAT MIGHT BE CONSIDERED CONTROVERSIAL H#,sw2780A-ws96-i-0004
490,2780A ,H# ISSUES H#,sw2780A-ws96-i-0005
491,2780A ,H# I GUESS LIKE H# LIKE AND THOUGH NOTHING_#,sw2780A-ws96-i-0006
492,2780A ,H# I GUESS NOTHING H# IS AWFUL AS ABORTION BUT LIKE GUN CONTROL H# AND UH DAY CARE AND THINGS LIKE THAT H# AND THERE ARE SOME VERY DIFFERENT VIEWS UH OF THE PEOPLE CONNECTED WITH THE PROGRAM WHICH I THOUGHT WAS REALLY INTERESTING H# YOU KNOW H#,sw2780A-ws96-i-0007
493,2780A ,H# YEAH WELL BEING IN IN IN BALTIMORE H# SEE MARYLAND IS H# IS SORT [OF] H#,sw2780A-ws96-i-0008
494,2780A ,H# IS A HUB OF H#,sw2780A-ws96-i-0010
495,2780A ,H# LIBERALISM,sw2780A-ws96-i-0011
496,2780A ,H# COMPARED TO THE COUNTRY H# YOU KNOW VERY H#,sw2780A-ws96-i-0013
497,2780A ,H# AND H# IN MANY WAYS H# VERY LIBERAL VERY SIMILAR TO NEW ENGLAND H# THOUGH PENNSYLVANIA H# AND NEW YORK H# I ? H# AREN'T ACTUALLY AS LIBERAL MARYLAND IS A VERY LIBERAL H#,sw2780A-ws96-i-0014
498,2780A ,H# STATE SO H# SO ? ? HERE WE HAVE H# WE HAVE GUN CONTROL LAWS WE PROBABLY_! HAVE SOME OF THE H# STRICTEST GUN CONTROLS LAWS IN THE NATION H# AND MOST PEOPLE IN MARYLAND VOTE FOR THAT H# YOU KNOW H#,sw2780A-ws96-i-0015
499,2780A ,H# YOU KNOW H# SO IT REALLY IS A DIFFERENT H#,sw2780A-ws96-i-0016
500,2780A ,H# YEAH THAT'S THAT'S_! TRUE I TALK TO A I HAD TO TALK ABOUT GUN CONTROL WITH SOMEBODY H# AND I TALKED WITH A WOMAN WHO ACTUALLY H# YOU KNOW H#,sw2780A-ws96-i-0017
501,2780A ,H# YOU KNOW H# HAD JUST PURCHASED_! A GUN THAT_#,sw2780A-ws96-i-0018
502,2780A ,DAY_# H#,sw2780A-ws96-i-0019
503,2780A ,H# AND WAS GOING TARGET SHOOTING H#,sw2780A-ws96-i-0020
504,2780A ,H# YOU KNOW AND IT WAS VERY DIFFERENT_#,sw2780A-ws96-i-0021
505,2780A ,H# IT WAS A WHOLE DIFFERENT_#,sw2780A-ws96-i-0022
506,2780A ,H# THIS HAS OPENED MY EYES TO THINKING H# YOU KNOW AT ONE TIME I JUST SAT HERE AND THOUGHT WELL H# HOW CAN ANYBODY BELIEVE THAT H# BECAUSE I'D REALLY NEVER MET PEOPLE THAT DID H#,sw2780A-ws96-i-0023
507,2780A ,H# AND NOW I TALK TO PEOPLE THAT DO SO THAT H# IT'S REALLY INTERESTING_! H#,sw2780A-ws96-i-0024
508,2780B ,h# ALTHOUGH I CLAIM FLORIDA AS MY HOME NOW h#,sw2780B-ws96-i-0006
509,2782A ,h# WE'RE ON THE EAST COAST NOW h#,sw2782A-ws96-i-0013
510,2782B ,h# I GUESS SO h#,sw2782B-ws96-i-0001
511,2785B ,YES h#,sw2785B-ws96-i-0089
512,2791A ,h# AND NOT GET THE CAREER POLITICIANS h#,sw2791A-ws96-i-0106
513,2792B ,h# MOSTLY h#,sw2792B-ws96-i-0003
514,2792B ,h# OH WOW h#,sw2792B-ws96-i-0125
515,2793A ,h# BUT TRADE A YEAR h#,sw2793A-ws96-i-0103
516,2793A ,h# BUT IF WE TOOK THESE PEOPLE OFF h#,sw2793A-ws96-i-0114
517,2794A ,h# IS h#,sw2794A-ws96-i-0005
518,2794A ,h# OH ABSOLUTELY h# ABSOLUTELY h#,sw2794A-ws96-i-0102
519,2794B ,h# OH THAT'S INTERESTING h#,sw2794B-ws96-i-0016
520,2797A ,AND_# h# THE TAX h# WAS ADMINISTERED h# BY h#,sw2797A-ws96-i-0016
521,2797A ,H# IT WASN'T UNTIL THE LAST h# TWO YEARS h#,sw2797A-ws96-i-0093
522,2802A ,H# SEE THAT'S h# THAT ISN'T EVEN h# I MEAN I'M NOT h# SURE THAT A h#,sw2802A-ws96-i-0045
523,2802A ,THE_# GROCERIES AND h# THAT WOULD BE A LITTLE h#,sw2802A-ws96-i-0126
524,2802A ,H# WELL h# YOU KNOW AND THEY SAY THAT_! h#,sw2802A-ws96-i-0135
525,2803B ,H# AND it WE WOULD GO OUT AND NOT EVEN LOCK OUR DOORS h#,sw2803B-ws96-i-0065
526,2803B ,H# THEY DON'T EVEN HAVE A BONDING WITH THAT CHILD THEY don't h#,sw2803B-ws96-i-0125
527,2805A ,h# FIRM h#,sw2805A-ws96-i-0028
528,2806A ,H# PICKED UP h# ONE IN h#,sw2806A-ws96-i-0043
529,2810A ,H# YEAH IT IS h#,sw2810A-ws96-i-0036
530,2818B ,H# JUST h# MAKE GOOD FRIENDS h#,sw2818B-ws96-i-0093
531,2819A ,h# YEAH THAT'S THAT'S GOOD POINT h#,sw2819A-ws96-i-0038
532,2819A ,h# BOY h#,sw2819A-ws96-i-0070
533,2819B ,H# YEAH WELL SEVENTH FLOOR h#,sw2819B-ws96-i-0063
534,2820A ,H# YEAH h# YEAH h#,sw2820A-ws96-i-0046
535,2820B ,H# NEVER A PROBLEM h#,sw2820B-ws96-i-0027
536,2826A ,H# I NEVER h# I NEVER SAW A RIOT h#,sw2826A-ws96-i-0028
537,2826A ,AND_# IT'S VERY DIFFICULT TO h#,sw2826A-ws96-i-0043
538,2830A ,YEAH I'VE BEEN SITTING HERE ALTERNATELY READING AND WATCHING TELEVISION_! H#,sw2830A-ws96-i-0001
539,2830A ,H# YOU WERE_! H# HE WAS WAITING FOR WHAT AGAIN H#,sw2830A-ws96-i-0003
540,2830A ,H# THAT'S WHAT THIS WAS YEAH H# WELL LET ME GO AHEAD AND PUSH ONE OKAY H# OKAY H#,sw2830A-ws96-i-0004
541,2830A ,H# OKAY H#,sw2830A-ws96-i-0005
542,2830A ,H# WELL BASICALLY I LIKE H# COMEDY SHOWS H#,sw2830A-ws96-i-0006
543,2830A ,H# MURPHY BROWN H#,sw2830A-ws96-i-0008
544,2830A ,H# DESIGNING WOMEN THAT ELK H#,sw2830A-ws96-i-0009
545,2830A ,H# YEAH WHAT DO YOU LIKE H#,sw2830A-ws96-i-0010
546,2830A ,H# OH OKAY H#,sw2830A-ws96-i-0012
